Прізвище,Ім’я,По-батькові,Стать,Дата народження,Посада,Місто проживання,Адреса проживання,Телефон,Email
Єрченко,Марина,Іванович,Жіноча,18/04/1996,Машиніст,селище Іршава,"сквер Карпатська, буд. 57 кв. 101, Іллінці, 75811",+380 52 182 08 67,khoma60@example.org
Бгиденко,Аркадій,Андріївна,Чоловіча,22/11/1990,Ді-джей,село Бердичів,"вулиця 11-та Лінія Марії Демченко, буд. 057 кв. 62, Ізмаїл, 97584",028 597-51-42,liza30@example.com
Абраменко,Ярина,Петрович,Жіноча,14/07/1967,Літературознавець,селище Кагарлик,"проспект ПшеничнаРадищева, буд. 2 кв. 3, Коломия, 94251",+380 33 346 80 73,telychenkoleon@example.net
Тичина,Прохір,Андріївна,Чоловіча,04/12/1976,Головний меркшейдер,місто Березань ,"шосе 12-та ст. Великого Фонтану пляж, буд. 57, Обухів, 68797",+380 (31) 919-31-88,zarudnyimarko@example.net
Абраменко,Демид,Андрійович,Чоловіча,21/08/1964,Біолог,хутір Виноградів,"узвіз Восьмого Березня Лінія 3-тя, буд. 26 кв. 540, Новомосковськ, 59303",091 535 33 44,pkhomenko@example.net
Носенко,Данна,Іванович,Жіноча,02/06/1968,Громадський діяч,хутір Жданівка,"провулок Вільгельма Габсбурга, буд. 536 кв. 20, Сватове, 88650",+380 15 733-97-96,lzabashta@example.org
Назаренко,Соломія,Андріївна,Жіноча,20/03/1976,Маркетолог,хутір Дружба ,"вулиця Нова, буд. 56 кв. 62, Феодосія, 38904",+380 81 900-72-07,iustynatereshchenko@example.org
Гаврилишин,Святослава,Васильович,Жіноча,16/11/1937,Нотаріус,селище Бахмач,"парк Набережна, буд. 1, Балаклія, 71582",+380 (26) 680-51-13,oksanazubko@example.org
Гаврюшенко,Віра,Олександрівна,Жіноча,27/11/1999,Зоолог,селище Бібрка,"провулок Восьмого Березня Лінія 1-ша, буд. 5, Дніпрорудне, 31074",875 00 88,avhustyn55@example.com
Туркало,Камілла,Іванівна,Жіноча,20/08/1965,Етнограф,хутір Арциз,"вулиця Матроський узвіз, буд. 36, Калуш, 23156",040 931 71 96,khavrylets@example.net
Токар,Костянтин,Олександрівна,Чоловіча,01/12/1945,Педагог,село Кропивницький,"площа Аркадійська, буд. 4 кв. 3, Малин, 67679",+380 33 715 95 18,zynovii36@example.net
Зарудний,Артем,Петрович,Чоловіча,02/12/1963,Круп'є,село Вільногірськ,"шосе Джутовий, буд. 0 кв. 166, Біляївка, 66565",+380 09 148-52-81,derkachielysaveta@example.com
Абраменко,Леон,Іванович,Чоловіча,03/10/1975,Інженер,хутір Помічна,"узвіз Десята, буд. 06 кв. 11, Глиняни, 57372",+380 (81) 556-72-28,bbashtan@example.org
Карась,Болеслав,Петрович,Чоловіча,11/09/1991,Біолог,місто Корсунь-Шевченківський,"площа Васнецова, буд. 17, Малин, 27371",078 425 21 11,orestlytvynenko@example.com
Заруба,Пріска,Олексійович,Жіноча,10/05/1942,Мірошник,місто Заводське,"провулок Болгарська, буд. 531 кв. 6, Бердичів, 50277",026 283-48-15,cvertyporokh@example.org
Годунок,Орися,Іванович,Жіноча,08/10/1983,Режисер,селище Миколаїв,"парк Кордонна, буд. 85, Мелітополь, 06469",+380 48 852-33-09,ustymparasiuk@example.org
Цимбал,Аліна,Петрівна,Жіноча,06/03/1940,Живописець,село Бровари,"проспект Віри Фігнер, буд. 85, Жмеринка, 47274",+380 19 833-66-75,halyna71@example.net
Яценко,Євген,Василівна,Чоловіча,19/11/1974,Єгер,село Жданівка,"проспект Якутська, буд. 50 кв. 2, Гола Пристань, 66981",086 057 04 28,ivan97@example.net
Валенко,Оксана,Іванівна,Жіноча,28/02/1977,Євнух,хутір Керч,"провулок Вершинна, буд. 601, Федорівка, 03867",033 567 92 85,hlibsirko@example.com
Перепелиця,Едита,Іванович,Жіноча,07/10/1947,Графік,селище Чоп,"парк Обільний 1-й, буд. 15, Зеленодольськ, 06173",+380 20 327-36-57,anitadakhno@example.net
Стець,Орина,Петрівна,Жіноча,03/08/1946,Електромонтажник,хутір Тернівка ,"провулок Шишкіна, буд. 93, Вуглегірськ, 71536",+380 42 982 97 44,vasyl78@example.net
Вівчаренко,Марта,Андріївна,Жіноча,04/08/1938,Фольклорист,селище Корюківка,"провулок Черешнева, буд. 1 кв. 3, Зіньків, 52165",+380 97 210-30-44,avramenkosviatoslav@example.org
Охріменко,Микита,Іванівна,Чоловіча,15/04/1972,Гицель,місто Долина ,"сквер Кордонна, буд. 2, Апостолове, 01573",+380 (30) 010-71-62,avhustyndanylchuk@example.org
Михалюк,Галина,Іванівна,Жіноча,27/03/1978,Клавішник,село Тисмениця,"проспект Локомотивна, буд. 157, Антрацит , 49499",+380 20 058 57 14,vadym28@example.com
Вовк,Гліб,Андрійович,Чоловіча,14/02/2004,Кінорежисер,місто Комарно,"узвіз Авангардна, буд. 0, Гірник , 40387",+380 96 909 76 96,zivasiuk@example.net
Каденюк,Святослав,Андріївна,Чоловіча,13/01/1956,Каскадер,місто Броди,"шосе Художника Федорова, буд. 6, Сватове, 23103",402-93-68,toberemko@example.org
Засуха,Олесь,Андріївна,Чоловіча,26/12/1954,Хімік,хутір Ківерці,"проспект Аеропортівський 1-й, буд. 75, Комарно, 83544",+380 37 034 05 70,maksymbaran@example.org
Чуйко,Орися,Іванівна,Жіноча,26/11/1939,Композитор,хутір Білопілля,"узвіз Миколи Гефта, буд. 4 кв. 0, Хотин, 82950",+380 75 274-58-68,rkopytko@example.org
Харченко,Валентина,Василівна,Жіноча,14/09/1970,Кінорежисер,хутір Липовець,"узвіз Ліверпульський, буд. 1, Монастирище, 45855",017 314-67-07,allakhudobiak@example.org
Базавлученко,Данна,Олександрівна,Жіноча,12/05/2004,Кіноактор,хутір Судова Вишня,"площа Дунаєвського, буд. 365, Шумськ, 04605",+380 (82) 406-04-78,iiarema@example.net
Короленко,Захар,Андріївна,Чоловіча,14/11/2004,Психолог,селище Краматорськ,"набережна Пролетарський 3-й, буд. 1 кв. 998, Новомиргород, 89448",769-32-12,dubenkovenedykt@example.com
Хмара,Мирослав,Василівна,Чоловіча,13/04/1977,Маркетолог,селище Татарбунари,"шосе Килимовий, буд. 20 кв. 9, Олександрівськ, 45924",087 066 92 28,zlatoslavazubko@example.net
Єресько,Максим,Іванович,Чоловіча,03/04/1997,Ботанік,хутір Снігурівка,"шосе Короленка, буд. 9 кв. 9, Погребище, 54936",039 284-25-46,hodunokmykyta@example.net
Титаренко,Руслан,Андріївна,Чоловіча,28/09/1962,Піаніст,хутір Помічна,"набережна Будівельна, буд. 17, Камінь-Каширський, 84562",005 687 66 44,priska33@example.net
Гунько,Петро,Андріївна,Чоловіча,10/08/1964,Живописець,хутір Березівка,"узвіз П'ята, буд. 3, Галич, 70568",+380 37 860 27 34,demianbabiichuk@example.net
Верхола,Віолетта,Андріївна,Жіноча,10/03/1952,Хімік,місто Вільнянськ,"провулок Нафтовиків, буд. 98 кв. 72, Борщів, 88639",287 69 31,hiefymenko@example.org
Корбут,Михайлина,Петрович,Жіноча,06/02/2000,Мірошник,місто Брянка,"провулок Разумовська, буд. 63, Кам'янка-Бузька, 89164",098 498 88 38,pchubai@example.net
Калениченко,Євген,Петрович,Чоловіча,05/04/1966,Ріелтор,селище Запоріжжя,"шосе Йосипа Тимченка, буд. 927, Любомль, 57643",037 821 22 58,khoma17@example.org
Забарний,Орина,Андрійович,Жіноча,03/03/1974,Провізор,хутір Сарни,"узвіз Плієва, буд. 735, Одеса, 78714",+380 06 686 02 34,rbaranyk@example.com
Павленко,Ярослава,Василівна,Жіноча,23/09/1958,Пілот,хутір Яворів,"вулиця Приморська, буд. 3, Немирів, 66169",+380 01 198 50 94,vakhniitaras@example.net
Тимчук,Василь,Іванович,Чоловіча,26/04/1990,Антрополог,хутір Новий Буг,"шосе Льва Толстого, буд. 934 кв. 829, Моспине, 53655",+380 29 201-45-32,ivan26@example.org
Філіпенко,Ігор,Андріївна,Чоловіча,19/07/1950,Геофізик,село Ананьїв,"площа Баркасний, буд. 2, Феодосія, 74385",032 120-02-09,teodor72@example.com
Власюк,Амалія,Андріївна,Жіноча,11/02/1973,Круп'є,село Лебедин,"узвіз Гагаріна, буд. 5 кв. 081, Ізмаїл, 17143",+380 61 918 84 39,babychenkodemian@example.com
Яременко,Світлана,Андріївна,Жіноча,10/01/1957,Палеонтолог,хутір Зимогір'я,"провулок Бессарабська, буд. 68 кв. 6, Мелітополь, 15371",024 057 84 14,stelmakhvenedykt@example.com
Цимбалюк,Максим,Васильович,Чоловіча,03/06/1951,Музичний редактор,село Мелітополь,"набережна Львівський, буд. 2, Судова Вишня, 16337",047 260 65 38,iashchenkoalevtyn@example.net
Щербань,Євген,Іванович,Чоловіча,10/04/1979,Ботанік,хутір Сміла,"узвіз Госпітальний, буд. 78 кв. 8, Черкаси, 27485",+380 (22) 065-45-93,shapovalbohodar@example.net
Ґерус,Станіслав,Петрівна,Чоловіча,21/05/1984,Няня,село Брянка,"набережна Навігаційний, буд. 301, Лубни, 81597",+380 (11) 507-14-51,abramenkoklavdiia@example.net
Рудько,Богодар,Іванівна,Чоловіча,05/04/1956,Підприємець,місто Славута,"сквер Світла, буд. 923 кв. 7, Коростишів, 91663",+380 07 562 58 07,iaroshmarusia@example.com
Щорс,Єлисавета,Іванівна,Жіноча,09/09/2005,Модель,місто Баштанка,"проспект Кифоренка Бориса, буд. 8, Рубіжне, 96931",+380 96 645-25-48,martynchalenko@example.org
Оліфіренко,Михайло,Васильович,Чоловіча,23/10/1965,Ювелір,село Теребовля,"проспект Вапняна, буд. 0, Сокиряни, 92986",012 02 58,habelkotymofii@example.net
Височан,Олесь,Петрівна,Чоловіча,22/07/1959,Хореограф,хутір Часів Яр,"провулок Тираспольська, буд. 70, Арциз, 51938",+380 37 701 57 17,veresviacheslav@example.com
Скорик,Антон,Васильович,Чоловіча,10/09/1978,Золотар,хутір Одеса,"сквер Якірний, буд. 3 кв. 8, Одеса, 85753",975-96-14,edyta73@example.net
Данько,Тереза,Іванівна,Жіноча,09/08/1946,Гірничий інженер,хутір Селидове,"узвіз Багрицького, буд. 88 кв. 2, Чорноморськ, 12836",048 001-12-20,qbandura@example.com
Гриценко,Георгій,Васильович,Чоловіча,12/05/1985,Менеджер,село Кипуче,"проспект Баркасний, буд. 377 кв. 15, Костянтинівка, 94233",799-61-89,fvivcharenko@example.com
Кириленко,Альбіна,Петрович,Жіноча,31/03/1957,М'ясник,місто Чугуїв,"проспект Івана Франка, буд. 34, Ватутіне, 14566",421 43 65,emykhailychenko@example.com
Даценко,Алевтин,Олексійович,Чоловіча,28/09/1950,Ді-джей,село Богуслав,"набережна Дельфін, буд. 4 кв. 1, Мар'їнка, 75237",+380 (13) 554-96-58,kbaturynets@example.net
Шаблій,Соломія,Олександрівна,Жіноча,12/06/1998,Математик,місто Борислав,"сквер Дальницька, буд. 07, Трускавець, 43040",071 60 73,vadym33@example.org
Кабалюк,Адам,Петрович,Чоловіча,13/09/1939,Золотар,хутір Ковель,"проспект Восьмого березня 6-й, буд. 9, Гадяч, 47166",087 166 13 60,rostyslavasaula@example.com
Цюпа,Ольга,Олександрівна,Жіноча,10/01/1994,Професор,хутір Кролевець,"сквер Косяченка Олексія, буд. 69, Куп'янськ, 25183",063 800-57-55,kamilla02@example.org
Лукаш,Єлисей,Василівна,Чоловіча,06/05/1993,Маркетолог,село Новоград-Волинський,"шосе Парковий, буд. 838, Коростишів, 89234",+380 60 375-30-03,tsahal@example.org
Абрагамовський,Ліза,Василівна,Жіноча,04/01/1946,Гірник,місто Олександрівськ,"набережна Восьмого березня 3-й, буд. 2 кв. 089, Гірське, 86353",482-68-06,levko19@example.com
Гаврилів,Анжела,Андріївна,Жіноча,06/08/1956,Архітектор,місто Зіньків,"проспект Казанська, буд. 79, Калинівка , 87239",+380 31 432 81 91,ieva59@example.org
Андрієвич,Вікторія,Андрійович,Жіноча,17/02/1955,Живописець,селище Родинське,"сквер Платанова, буд. 3 кв. 1, Верхівцеве, 57493",+380 74 579-32-20,bvelychko@example.net
Іваненко,Василь,Іванович,Чоловіча,08/12/2001,Складальник,місто Трускавець,"набережна Аеропортівська, буд. 667, Одеса, 76553",997-41-81,leon90@example.com
Гаєвський,Віктор,Петрівна,Чоловіча,28/05/1969,Електрослюсар,місто Скалат,"парк Хаджибейський 3-й, буд. 02 кв. 57, Добромиль, 13761",+380 53 805-16-34,hlib42@example.net
Гайдабура,Василь,Олександрівна,Чоловіча,31/01/1952,Науковець,хутір Рівне,"провулок Неплія, буд. 9, Первомайський , 02157",+380 (88) 617-51-66,nosenkoalina@example.net
Євтушок,Камілла,Петрівна,Жіноча,22/03/1941,Бухгалтер,місто Сторожинець,"парк Лінія 43-тя, буд. 86, Херсон, 23284",+380 04 044 28 61,davydshtokalo@example.com
Самойленко,Гліб,Петрівна,Чоловіча,15/10/1974,Нотаріус,хутір Могилів-Подільський,"узвіз Український 1-й, буд. 8, Рогатин, 57506",052 522-76-97,klavdiiastus@example.net
Черінько,Аарон,Андріївна,Чоловіча,18/11/2001,Музикант,місто Жмеринка,"набережна Крушельницької, буд. 833 кв. 3, Корець, 06671",017 916 96 98,ksomko@example.net
Теліженко,Ілля,Іванович,Чоловіча,27/07/1993,Продюсер,хутір Вознесенівка,"узвіз Отамана Чепіги, буд. 69, Феодосія, 55928",859-06-34,vladyslavudovychenko@example.org
Даценко,Трохим,Васильович,Чоловіча,29/05/1978,Золотар,місто Луганськ,"шосе Красносільська, буд. 92, Вільногірськ, 01201",+380 (09) 822-94-78,lbashtan@example.com
Артим,Олена,Васильович,Жіноча,26/11/1950,Підприємець,селище Батурин,"провулок Восьмого березня, буд. 41, Сніжне, 92054",278 78 53,solomiiakybkalo@example.net
Штепа,Марко,Олександрівна,Чоловіча,31/10/1947,Кінолог,село Шепетівка,"парк Тепла, буд. 205, Джанкой, 08672",+380 (40) 962-51-02,tryhubparmen@example.com
Давиденко,Мартин,Олександрівна,Чоловіча,25/09/1980,Музикант,місто Рахів,"провулок Базарна, буд. 19 кв. 13, Чорноморськ, 44205",+380 16 124 66 35,olha29@example.net
Гавриш,Варфоломій,Олександрівна,Чоловіча,25/02/1944,Детектив,село Баранівка,"узвіз Аеродромний 3-й, буд. 308, Южне, 14307",+380 84 723-77-27,bstets@example.org
Авдєєнко,Пантелеймон,Петрівна,Чоловіча,08/12/1950,Стропальник,село Червоносів,"проспект Умова, буд. 76 кв. 666, Добромиль, 44619",084 181-17-73,amatiash@example.net
Дубас,Оксенія,Іванович,Жіноча,12/05/1939,Живописець,місто Івано-Франківськ,"узвіз Танкістів, буд. 145 кв. 0, Здолбунів, 98501",+380 04 307-17-69,varfolomii24@example.net
Гайдамака,Софія,Іванівна,Жіноча,23/05/1981,Золотар,селище Василівка ,"набережна Новгородська, буд. 32, Белз, 87457",+380 86 730-20-30,redkomyroslav@example.net
Рябовіл,Віталій,Петрівна,Чоловіча,25/10/1944,Доцент,село Щолкіне,"узвіз Нова, буд. 079 кв. 2, Підгородне, 36890",022 998-20-89,lukiancharnysh@example.net
Лубенець,Герман,Василівна,Чоловіча,19/04/1968,Електротехнік,місто Деражня,"шосе Метрополітенівський, буд. 96, Носівка, 64717",+380 66 760 70 43,hvlokh@example.net
Смик,Пантелеймон,Андрійович,Чоловіча,03/12/1977,Музикознавець,село Почаїв,"провулок Залізничний 3-й, буд. 970 кв. 602, Славута, 35960",+380 80 054-18-28,ratamaniuk@example.net
Базилевський,Любов,Петрівна,Жіноча,12/07/1991,Локсмайстер,селище Чортків,"проспект Проценка, буд. 11 кв. 3, Кам'янець-Подільський, 38508",871 04 91,edarahan@example.com
Піддубний,Амалія,Петрович,Жіноча,05/11/1995,Ріелтор,місто Хмільник,"набережна Махачкалинська, буд. 0, Пологи , 05629",514-14-64,biurchuk@example.net
Зайченко,Марина,Васильович,Жіноча,16/03/1997,Електромонтажник,місто Хмільник,"набережна Естонська, буд. 4 кв. 95, Міусинськ, 08545",096 266-63-54,ievhenkopytko@example.org
Сімашкевич,Марта,Іванівна,Жіноча,11/12/1939,Гінеколог,місто Яремче,"узвіз Керченський 2-й, буд. 439 кв. 84, Тячів, 45686",+380 (31) 421-95-39,waleksiichuk@example.net
Кибкало,Альберт,Олександрівна,Чоловіча,17/04/1943,Прокурор,місто Марганець ,"вулиця Соляний 6-й, буд. 67 кв. 139, Почаїв, 07219",+380 89 617-27-04,zaporozhetsmarko@example.com
Данько,Ада,Андріївна,Жіноча,24/05/1956,Фармацевт,село Заводське,"парк Державіна, буд. 00 кв. 74, Борзна, 99563",+380 43 179 44 48,panasdeineko@example.net
Баштан,Гордій,Петрович,Чоловіча,21/09/1938,Драматург,село Рогатин,"узвіз Лесі Українки, буд. 97 кв. 9, Лутугине, 83095",097 603-53-83,olha97@example.net
Петлюра,Валентин,Андрійович,Чоловіча,19/07/1981,Єгер,місто Рогатин,"узвіз Іванова 1-й, буд. 878, Гайсин, 28931",+380 65 709-00-90,savenkoheorhii@example.org
Чуприна,Ірена,Іванівна,Жіноча,23/08/1996,Актор,селище Дубляни,"узвіз Ільфа і Петрова, буд. 026, Корюківка, 34701",+380 16 327-42-48,udovychenkoleon@example.net
Гуцуляк,Наталія,Андрійович,Жіноча,13/04/1995,Стропальник,хутір Путивль,"сквер Індійська, буд. 4 кв. 12, Лозова , 76783",087 595 44 61,martynperebyinis@example.com
Авдєєнко,Анастасія,Петрівна,Жіноча,20/09/1999,Архітектор,місто Здолбунів,"вулиця Гетьманський, буд. 361, Ямпіль, 02610",010 322-88-33,msemenchenko@example.org
Гунько,Варфоломій,Петрівна,Чоловіча,17/04/1997,Підприємець,село Попасна,"провулок Мостовий, буд. 474 кв. 87, Кам'янське, 30009",039 476 38 98,semen32@example.com
Яременко,Віталій,Петрівна,Чоловіча,30/12/2002,Ботанік,хутір Апостолове,"проспект Аркаса Миколи, буд. 3 кв. 79, Сміла, 05695",+380 13 225 93 39,marta52@example.org
Лукаш,Адам,Іванівна,Чоловіча,14/09/1991,Музикознавець,селище Фастів,"площа Пересипська 1-ша, буд. 64 кв. 875, Бердичів, 50380",+380 99 486 51 35,vitaliiandriienko@example.net
Джунь,Надія,Іванівна,Жіноча,20/03/1977,Кіноактор,місто Новомиргород,"сквер Хутірська, буд. 480, Новояворівськ, 53862",+380 86 409 79 98,dzhusveniiamyn@example.net
Каденюк,Захар,Олександрівна,Чоловіча,29/12/1990,Доцент,селище Інкерман,"набережна Волзький, буд. 3, Мар'їнка, 80868",+380 64 989-89-29,volodymyrbaranets@example.net
Ґжицький,Емілія,Олександрівна,Жіноча,25/10/1969,Клоун,село Буськ,"парк 10-та Лінія Марії Демченко, буд. 798, Гірське, 64544",+380 10 702-93-95,babychenkoiryna@example.net
Адамчук,Святослава,Петрівна,Жіноча,02/08/2000,Бізнесмен,село Косів,"площа Палія Семена, буд. 6, Благовіщенське, 25442",+380 58 074 62 55,irynazakharchenko@example.net
Хорішко,Валентина,Андріївна,Жіноча,12/04/1956,Кінолог,село Борзна,"сквер Нежданової, буд. 265 кв. 730, Мукачево, 45648",+380 28 280-83-15,vhabelko@example.net
Цісик,Ірина,Петрович,Жіноча,12/08/1955,Модельєр,хутір Хуст,"сквер Гладкова, буд. 5 кв. 47, Сокиряни, 13426",+380 99 270-81-11,myroslav58@example.com
Чуприна,Єлисавета,Олексійович,Жіноча,05/04/1983,Хореограф,місто Білицьке,"вулиця Ювілейний 1-й, буд. 9 кв. 1, Алупка, 39703",024 275 96 56,andrii29@example.com
Бабко,Владислав,Олександрівна,Чоловіча,05/12/1963,Клоун,хутір Угнів,"проспект Студентський 4-й, буд. 3, Довжанськ, 92570",091 157 38 81,albinakozachenko@example.com
Ґерета,Алевтин,Олексійович,Чоловіча,05/10/1982,Кінорежисер,місто Снігурівка,"парк Лінія 52-га, буд. 46, Сміла, 75083",046 852-06-28,volodymyraopanasenko@example.com
Іваненко,Тетяна,Олександрівна,Жіноча,27/12/1989,Фрілансер,село Сєвєродонецьк,"парк Йосипа Тимченка, буд. 90, Мена , 35903",+380 43 276 59 90,tychynaiustyna@example.net
Єщенко,Богуслава,Олександрівна,Жіноча,31/05/1941,Математик,хутір Березівка,"узвіз Балтський 1-й, буд. 792, Марганець , 41937",+380 78 061-90-89,kostiantynbandura@example.net
Доценко,Степан,Олексійович,Чоловіча,10/07/2003,Дантист,місто Керч,"парк Тепличний 1-й, буд. 75 кв. 2, Ланівці, 44142",+380 07 794 17 68,dan30@example.net
Верховинець,Галина,Василівна,Жіноча,14/06/1942,Електротехнік,хутір Дрогобич,"провулок Керченська, буд. 8, Радивилів, 88104",685-61-05,vasylashkoalla@example.org
Микитюк,Наталія,Іванович,Жіноча,07/08/1973,Фізик,село Благовіщенське,"площа 21-й км Старокиївської дороги, буд. 217, Іловайськ, 99772",+380 12 750-75-56,ostap00@example.org
Швачка,Юстина,Андріївна,Жіноча,20/02/1954,Фермер,місто Яремче,"вулиця Горіхова, буд. 4 кв. 607, Узин, 71532",+380 (81) 306-57-27,semen12@example.net
Гунько,Станіслав,Олексійович,Чоловіча,02/04/1983,Науковець,хутір Зміїв,"сквер Індійська, буд. 3 кв. 89, Жмеринка, 27900",095 608-52-33,skyrylenko@example.net
Жаліло,Аврелій,Васильович,Чоловіча,07/07/1952,Мовознавець,хутір Трускавець,"парк Промислова, буд. 264, Мар'їнка, 64146",082 131-31-66,kamilla80@example.com
Тимченко,Анжела,Іванівна,Жіноча,30/01/2007,Бібліотекар,селище Південне ,"площа Світла, буд. 564 кв. 8, Генічеськ, 23359",+380 89 899-85-52,ishchakmartyn@example.com
Андрієвич,Марина,Петрівна,Жіноча,15/11/1989,Фізик,селище Волочиськ,"узвіз Монгольська, буд. 1 кв. 91, Подільськ, 88284",071 999 92 34,bohodarchalyi@example.com
Хмара,Кирило,Василівна,Чоловіча,28/06/1955,Водій,хутір Кам'янка-Дніпровська,"шосе Казанська, буд. 7 кв. 18, Новодружеськ, 47108",618 87 05,okseniia11@example.com
Титаренко,Микита,Петрівна,Чоловіча,18/07/1952,Антрополог,селище Тиврів,"сквер Прохоровський, буд. 73, Чернівці, 08553",069 304-75-20,stepantsarenko@example.org
Чайка,Михайло,Олександрівна,Чоловіча,25/01/1991,Клоун,місто Глиняни,"площа 1-й Академічний тупик, буд. 4 кв. 045, Немирів, 09864",892-26-33,adaiatsenko@example.org
Штепа,Амалія,Петрівна,Жіноча,28/07/1998,Астронавт,місто Бахмач,"вулиця Гагаріна, буд. 6 кв. 911, Кам'янець-Подільський, 47590",+380 15 513-76-23,khrystynaliashko@example.org
Дубина,Зорян,Петрівна,Чоловіча,09/05/1948,Клоун,селище Шостка,"площа Льва Симиренка, буд. 775 кв. 85, Кам'янка (Черкаська область), 01030",+380 89 105-31-46,qvermenych@example.org
Нестеренко,Віолетта,Олександрівна,Жіноча,20/11/1999,Патологоанатом,селище Ірміно,"проспект Аркадійська, буд. 944, Кальміуське, 25981",+380 (13) 178-57-78,ylesyk@example.net
Скирда,Пантелеймон,Васильович,Чоловіча,09/12/1952,Стоматолог,місто Єнакієве,"узвіз Посмітного, буд. 636, Щолкіне, 71324",080 308-78-56,solomiiadarahan@example.com
Карась,Василина,Олександрівна,Жіноча,02/05/1953,Філолог,хутір Докучаєвськ,"проспект Гастелло, буд. 06, Іллінці, 95646",090 684 53 27,rozaliia06@example.com
Джунь,Августин,Васильович,Чоловіча,05/11/1982,Фотограф,місто Ржищів,"парк Квітнева, буд. 887 кв. 84, Молодогвардійськ, 18777",+380 20 500-10-60,zfurs@example.org
Корбут,Ліза,Василівна,Жіноча,20/07/1984,Різноробочий,хутір Перечин,"провулок Зої Космодем’янської, буд. 01 кв. 10, Сокаль, 35798",020 752 49 99,anton52@example.net
Венгринович,Ганна,Петрович,Жіноча,30/03/1991,Штукатур,селище Вашківці,"площа Єнісейська, буд. 18, Міусинськ, 52068",+380 11 105-68-21,gzhytskyisviatoslava@example.com
Затула,Святослав,Василівна,Чоловіча,07/01/1972,Кінорежисер,хутір Дебальцеве,"проспект Теліги Олени, буд. 42 кв. 854, Макіївка, 86399",+380 (75) 587-13-69,vdovychenkoiaroslava@example.org
Ватаманюк,Альберт,Іванівна,Чоловіча,09/06/1994,Фольклорист,хутір Городня,"площа Воронцовський, буд. 45, Болехів, 12251",+380 45 364-53-45,borys44@example.org
Романчук,Еріка,Василівна,Жіноча,23/01/1965,Паралегал,село Зборів,"провулок Новікова 2-га, буд. 0, Новомиргород, 30594",070 153 80 68,chuprynapavlo@example.org
Ґереґа,Марта,Андріївна,Жіноча,19/10/2000,Доцент,селище Молочанськ,"сквер Волна тупик, буд. 8, Яготин, 23499",072 022 04 70,vdovychenkoanton@example.com
Негода,Михайлина,Олексійович,Жіноча,07/04/1958,Зоолог,хутір Радехів,"узвіз Умова, буд. 47 кв. 1, Прилуки, 01203",212 31 23,trubets@example.org
Тичина,Ольга,Петрівна,Жіноча,27/12/2003,Етнограф,місто Дніпро ,"сквер Бібліотечна, буд. 3 кв. 44, Благовіщенське, 36933",014 281 90 54,panaszhalilo@example.com
Романенко,Розалія,Андрійович,Жіноча,30/04/1966,Дерун,селище Красноперекопськ,"парк Велика Садова, буд. 429 кв. 48, Знам'янка, 85543",714-63-75,heorhiitkachenko@example.net
Шинкаренко,Софія,Олександрівна,Жіноча,22/12/1961,Складальник,селище Богодухів,"площа Сортувальна 1-ша, буд. 1, Антрацит , 47666",258-19-47,bebeshkomyroslav@example.org
Пʼятаченко,Валерій,Петрівна,Чоловіча,20/02/1950,Різноробочий,місто Рівне,"набережна Монастирський, буд. 04 кв. 38, Лиман , 14662",+380 (00) 476-56-92,oksana25@example.net
Стельмах,Богодар,Петрівна,Чоловіча,23/07/1958,Математик,селище Лозова ,"вулиця Матроська Слобідка, буд. 590 кв. 69, Чернівці, 81637",340 55 66,iustymierchenko@example.org
Демʼянюк,Людмила,Василівна,Жіноча,27/08/1994,Дизайнер,місто Єнакієве,"набережна Марсельська, буд. 45 кв. 69, Святогірськ, 96956",018 908 39 08,lahodaihor@example.com
Медведенко,Давид,Петрівна,Чоловіча,13/08/1944,Ветеринар,місто Красноперекопськ,"проспект Щукіна, буд. 99, Енергодар, 39901",+380 09 735 39 76,vladyslav89@example.org
Гайдабура,Михайло,Олексійович,Чоловіча,22/09/1942,Візажист,хутір Яворів,"узвіз Кінна, буд. 31 кв. 330, Хрестівка, 91186",024 406 10 62,petroderehus@example.net
Рудик,Єва,Петрівна,Жіноча,01/12/1941,Різноробочий,село Лозова ,"площа Восьмого березня 3-й, буд. 5 кв. 44, Вознесенівка, 66941",+380 93 394-03-40,gfareniuk@example.com
Товстуха,Дмитро,Васильович,Чоловіча,04/06/1956,Режисер,селище Белз,"площа Велика Арнаутська, буд. 01, Селидове, 38260",+380 38 643 74 66,emiliiababko@example.org
Ващук,Валерій,Андріївна,Чоловіча,09/02/1990,Будник,хутір Заставна,"площа Гетьманський, буд. 3, Збараж, 78079",+380 29 529-03-75,nteslenko@example.net
Христенко,Ігнат,Іванівна,Чоловіча,09/10/1994,Кінолог,місто Щастя ,"провулок Приморський, буд. 356, Буськ, 90499",+380 (88) 550-60-59,iustynazhuk@example.org
Чекалюк,Святослав,Андрійович,Чоловіча,17/04/1956,Ботанік,місто Семенівка,"набережна Липнева, буд. 2, Бердичів, 85190",+380 97 141 57 80,zirvanets@example.net
Бабариченко,Тимофій,Олексійович,Чоловіча,27/01/1994,Промисловець,село Прилуки,"сквер Вчительська, буд. 905 кв. 125, Джанкой, 16333",871 52 98,opanasvyshniak@example.com
Єфименко,Андрій,Петрович,Чоловіча,06/10/1983,Архітектор,село Антрацит ,"узвіз Херсонський сквер, буд. 037 кв. 648, Гайсин, 61549",+380 53 288 03 84,milena07@example.com
